geneID	Freq
ADNP	2
AFF1	2
AHCY	2
AHCYL2	2
AK4	2
ALKBH3	2
ANK2	2
ATPAF2	2
BRINP2	2
BSCL2	2
C1R	2
CBY1	2
CCDC59	2
CD200	2
CLUAP1	2
COL25A1	2
COX16	2
CPPED1	2
DAGLB	2
DCP1A	2
DDX20	2
DIAPH1	2
DNAI1	2
DNMBP	2
DPYSL2	2
E2F7	2
EIF2D	2
ENC1	2
ERCC2	2
ESR1	2
ETV1	2
FAM120B	2
FAM219A	2
FAM227A	2
FBP1	2
FBXO40	2
FCHO1	2
FLAD1	2
GADD45G	2
GBA	2
GDF3	2
GID4	2
GNG3	2
HDAC9	2
HEXB	2
HMGB1	2
HNRNPD	2
HOXB1	2
IER5L	2
INKA2	2
KBTBD4	2
KIF1BP	2
KIFC3	2
KMT2B	2
LAMP1	2
LMNA	2
LRRTM3	2
LTBR	2
MED23	2
METTL25	2
MEX3A	2
MTF2	2
MTIF2	2
MTRNR2L2	2
MTRNR2L8	2
NADK	2
NANOG	2
NDUFS3	2
NEUROG1	2
NME1	2
NOTCH1	2
NOTCH2NLA	2
NOTCH2NLB	2
NOTCH2NLC	2
NRARP	2
NSL1	2
NUF2	2
OPA3	2
PBDC1	2
PCSK1	2
PDCL	2
PHLDB2	2
PIPOX	2
PLAGL1	2
PLCH1	2
PMEPA1	2
POLR2A	2
PPP1R15B	2
PRICKLE1	2
RABGAP1L	2
RASSF10	2
REST	2
RGPD2	2
RNF219	2
RPL22	2
RPS7	2
SCG3	2
SCNN1A	2
SCOC	2
SET	2
SF3A3	2
SLC2A14	2
SLC33A1	2
SLFN12	2
SNRPN	2
SNX16	2
SPOP	2
SRRM4	2
SSBP2	2
ST18	2
STAT1	2
STAT3	2
STOX2	2
TACC2	2
TATDN3	2
TBXT	2
THRA	2
TMEM14C	2
TMEM242	2
TMEM39B	2
USP44	2
USPL1	2
VANGL2	2
VIRMA	2
WDFY2	2
WNT5B	2
YTHDF2	2
ZBTB4	2
ZCCHC23	2
ZMPSTE24	2
ZNF101	2
ZNF202	2
ZNF341	2
ZNF428	2
AAAS	1
AARS2	1
AASDH	1
ABCB8	1
ABI1	1
ACCS	1
ACO2	1
ACOT13	1
ACP2	1
ACSL1	1
ACTR3	1
ACVR1	1
ACYP2	1
ADAMTSL1	1
ADAT2	1
ADGRL1	1
ADI1	1
AGK	1
AGO2	1
AIFM1	1
AIP	1
AKIRIN1	1
AKT1S1	1
AKT2	1
ALDH7A1	1
ANAPC13	1
ANK3	1
ANKRD13C	1
ANKRD28	1
ANKRD49	1
ANP32E	1
AP1G1	1
AP3B1	1
API5	1
AQR	1
ARHGAP1	1
ARHGAP11A	1
ARHGAP42	1
ARID4A	1
ARL1	1
ARMC8	1
ARSJ	1
ASIC2	1
ASXL1	1
ATAD2	1
ATF4	1
ATF7IP	1
ATG101	1
ATG13	1
ATOH1	1
ATP2A1	1
ATP6V0C	1
ATR	1
AUH	1
AURKA	1
AURKAIP1	1
AVEN	1
BANF1	1
BCKDHA	1
BCO1	1
BLCAP	1
BLOC1S3	1
BLZF1	1
BMF	1
BNIP1	1
BOLA2	1
BOLA2-SMG1P6	1
BOLA2B	1
BORCS7	1
BPNT1	1
BRF2	1
BTD	1
BYSL	1
C11orf1	1
C11orf68	1
C11orf74	1
C12orf4	1
C12orf49	1
C12orf57	1
C12orf73	1
C17orf100	1
C19orf48	1
C1orf115	1
C1orf210	1
C22orf39	1
C2orf50	1
C2orf68	1
C6orf52	1
C7orf33	1
C8orf37	1
C9orf43	1
CABYR	1
CALCOCO1	1
CALM1	1
CALM2	1
CALM3	1
CAMKMT	1
CAMKV	1
CAPN14	1
CASD1	1
CBWD3	1
CBWD5	1
CBWD6	1
CBX5	1
CBX8	1
CCAR2	1
CCDC103	1
CCDC107	1
CCDC115	1
CCDC124	1
CCDC13	1
CCDC142	1
CCDC146	1
CCDC151	1
CCDC169	1
CCDC169-SOHLH2	1
CCDC172	1
CCDC191	1
CCDC86	1
CCDC88A	1
CCDC92	1
CCL2	1
CCNG2	1
CCNI	1
CCNT1	1
CCT5	1
CD2BP2	1
CD300LB	1
CDADC1	1
CDC14B	1
CDC20	1
CDC45	1
CDC5L	1
CDC7	1
CDCA2	1
CDCA5	1
CDH10	1
CDH20	1
CDH6	1
CDIP1	1
CDIPT	1
CDK11B	1
CDK12	1
CDK20	1
CDK5RAP1	1
CDKL3	1
CDRT1	1
CDX1	1
CELF3	1
CENPE	1
CENPF	1
CENPP	1
CENPU	1
CEP44	1
CEP63	1
CER1	1
CFLAR	1
CHD7	1
CHD9	1
CHM	1
CHMP7	1
CHP1	1
CHST11	1
CHST4	1
CHTOP	1
CIART	1
CLDN14	1
CLN3	1
CLPB	1
CLTB	1
CLTC	1
CMSS1	1
CNGA1	1
CNIH4	1
COG8	1
COIL	1
COMMD2	1
COMMD4	1
COMMD6	1
COPE	1
COPS4	1
COPS7A	1
COPS7B	1
CPM	1
CRADD	1
CREB3	1
CREBL2	1
CREM	1
CRIP3	1
CROCC	1
CRYZL1	1
CSTF1	1
CSTF2T	1
CTNNA1	1
CUL2	1
CWC27	1
CXXC1	1
DACH2	1
DAG1	1
DBF4B	1
DCLK1	1
DCLRE1A	1
DCT	1
DCTN6	1
DCUN1D5	1
DCX	1
DDX19A	1
DDX31	1
DDX41	1
DDX49	1
DDX50	1
DENND4B	1
DENND4C	1
DENR	1
DESI2	1
DHRS3	1
DHX16	1
DHX32	1
DHX40	1
DHX8	1
DKK1	1
DLG4	1
DMAC2	1
DMAP1	1
DNAH2	1
DNAJB12	1
DNAJB4	1
DNAJC25-GNG10	1
DNAJC6	1
DNM2	1
DOHH	1
DPAGT1	1
DPPA4	1
DR1	1
DRAP1	1
DRG2	1
DSTYK	1
DTL	1
DTNA	1
DTWD1	1
DUSP10	1
DUSP12	1
DXO	1
DZANK1	1
EFCAB7	1
EFTUD2	1
EGLN2	1
EGLN3	1
EHBP1	1
EHD3	1
EIF1AD	1
EIF2B3	1
EIF2B4	1
EIF3B	1
EIF3F	1
EIF4A2	1
EIF4E3	1
ELAC2	1
ELL	1
ELP3	1
ENTPD1	1
EP300	1
EPB41L5	1
EPCAM	1
ERAL1	1
ERBB2	1
ERH	1
ERLIN2	1
ERMN	1
ESPL1	1
ESRP1	1
ETV4	1
ETV5	1
EVI5	1
EXD1	1
EXOSC5	1
F2RL1	1
FAM117A	1
FAM126B	1
FAM153B	1
FAM153C	1
FAM173B	1
FAM227B	1
FAM47E	1
FAM47E-STBD1	1
FAM98B	1
FAN1	1
FASTKD1	1
FBXO16	1
FBXO8	1
FERD3L	1
FGF12	1
FGF8	1
FGFR2	1
FIGN	1
FILIP1L	1
FIZ1	1
FLCN	1
FMO4	1
FNTB	1
FOPNL	1
FOXJ3	1
FOXN3	1
FOXP1	1
FRA10AC1	1
FREM2	1
FRS3	1
FSBP	1
FSTL5	1
FUT10	1
FUZ	1
GABARAP	1
GABPB2	1
GALM	1
GALNT4	1
GALNT8	1
GAN	1
GARS	1
GAS1	1
GATB	1
GCNT2	1
GFI1B	1
GIMAP5	1
GJC1	1
GLIPR1L1	1
GMEB2	1
GMNN	1
GPC6	1
GPR1	1
GRHL2	1
GRIPAP1	1
GRWD1	1
GSN	1
GSPT2	1
GSTCD	1
GSTO1	1
GTF2H2	1
GTF2H2C	1
GTF2H2C_2	1
GTF2H4	1
GTF2IRD2	1
GTF2IRD2B	1
GTF3C3	1
GTF3C5	1
GTF3C6	1
GTPBP10	1
GTPBP2	1
GTPBP3	1
GYS1	1
H2AFY	1
HACL1	1
HARBI1	1
HCN4	1
HESX1	1
HEXIM1	1
HEXIM2	1
HHLA3	1
HIGD2A	1
HINT3	1
HIST1H2AL	1
HIST1H2BE	1
HIST1H2BH	1
HIST1H3F	1
HLCS	1
HMBOX1	1
HMG20A	1
HNRNPA0	1
HPCAL1	1
HPD	1
IDH3B	1
IFIT3	1
ILF2	1
IMP4	1
ING4	1
INO80B	1
INO80C	1
INSYN2B	1
INTS12	1
INTS7	1
INTS9	1
IPO13	1
IPO4	1
IPPK	1
IQSEC3	1
ISY1	1
ISY1-RAB43	1
ITFG2	1
ITSN1	1
JAG1	1
JAG2	1
